2024-02-08 14:40:23,739 | MainThread   | [WARNING ] | exit_handler        |: Event loop stopped before Future completed.
2024-02-08 14:40:27,196 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-02-08 14:40:27,197 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-02-08 14:40:27,198 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:06:4B
2024-02-08 14:40:30,504 | MainThread   | [INFO    ] | _connect            |: Connected to C0:89:F0:6B:06:4B
2024-02-08 14:42:21,434 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-08 14:42:21,438 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 747696FD-B715-05CB-947A-0D181A9C2566
2024-02-08 14:42:21,439 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2024-02-08 14:42:21,550 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-08 14:42:21,557 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2024-02-08 14:42:24,917 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-02-08 14:42:24,917 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-02-08 14:42:24,926 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:06:4B
2024-02-08 14:42:28,165 | MainThread   | [INFO    ] | _connect            |: Connected to C0:89:F0:6B:06:4B
2024-02-08 14:52:52,177 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 747696FD-B715-05CB-947A-0D181A9C2566
2024-02-08 14:53:23,347 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-08 14:53:23,349 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-02-08 14:53:23,350 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-02-08 14:53:23,451 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-08 14:53:23,457 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2024-02-08 14:53:26,793 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-02-08 14:53:26,793 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-02-08 14:53:26,794 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:06:4B
2024-02-08 14:53:29,810 | MainThread   | [INFO    ] | _connect            |: Connected to C0:89:F0:6B:06:4B
2024-02-08 14:53:30,951 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-08 14:53:30,953 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 747696FD-B715-05CB-947A-0D181A9C2566
2024-02-08 14:53:30,953 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2024-02-08 14:53:31,019 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-08 14:53:31,024 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2024-02-08 14:54:51,741 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-02-08 14:54:51,741 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-02-08 14:54:51,748 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:06:4B
2024-02-08 14:54:54,862 | MainThread   | [INFO    ] | _connect            |: Connected to C0:89:F0:6B:06:4B
2024-02-08 14:54:56,157 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-08 14:54:56,159 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 747696FD-B715-05CB-947A-0D181A9C2566
2024-02-08 14:54:56,159 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2024-02-08 14:54:56,218 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-08 14:54:56,223 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2024-02-08 14:56:27,410 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-02-08 14:56:27,410 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-02-08 14:56:27,416 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:06:4B
2024-02-08 14:56:30,864 | MainThread   | [INFO    ] | _connect            |: Connected to C0:89:F0:6B:06:4B
2024-02-08 14:58:51,422 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-08 14:58:51,424 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 747696FD-B715-05CB-947A-0D181A9C2566
2024-02-08 14:58:51,425 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2024-02-08 14:58:51,500 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-08 14:58:51,507 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2024-02-08 14:58:54,866 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-02-08 14:58:54,866 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-02-08 14:58:54,870 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:06:4B
2024-02-08 14:58:58,224 | MainThread   | [INFO    ] | _connect            |: Connected to C0:89:F0:6B:06:4B
2024-02-08 14:59:54,287 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-08 14:59:54,290 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 747696FD-B715-05CB-947A-0D181A9C2566
2024-02-08 14:59:54,291 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2024-02-08 14:59:54,388 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-08 14:59:54,393 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
